Manufacturer,Series,Model Number,AC Power (kW),Approval Date,Expiry date
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 10.0S (AS4777-2 2020),10,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 10.5S (AS4777-2 2020),10.5,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 7.0S (AS4777-2 2020),7,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 8.0S (AS4777-2 2020),8,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force S Series,Force 9.0S (AS4777-2 2020),9,29/09/2022,29/09/2025
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 3.6S (AS4777-2 2020),3.6,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 3S (AS4777-2 2020),3,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 4.6S (AS4777-2 2020),4.6,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 5S (AS4777-2 2020),5,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Energizer Solar Force Series,Force 6S (AS4777-2 2020),6,5/04/2023,5/04/2026
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 3.0HS (AS4777-2 2020),3,4/04/2024,4/04/2027
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 3.7HS (AS4777-2 2020),3.68,4/04/2024,4/04/2027
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 4.6HS (AS4777-2 2020),4.6,4/04/2024,4/04/2027
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 5.0HS (AS4777-2 2020),5,4/04/2024,4/04/2027
8 Star Energy Pty Ltd,Force HS-AS Series,FORCE 6.0HS (AS4777-2 2020),6,4/04/2024,4/04/2027
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS10000TL (AS4777-2 2020),10,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS3000TL (AS4777-2 2020),3,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS3600TL (AS4777-2 2020),3.6,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS4000TL (AS4777-2 2020),4,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS5000TL (AS4777-2 2020),5,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS5000TL6 (AS4777-2 2020),5,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS6000TL (AS4777-2 2020),6,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS7000TL (AS4777-2 2020),7,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS8000TL (AS4777-2 2020),8,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,HNS SERIES,HNS9000TL (AS4777-2 2020),9,24/03/2022,24/03/2025
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF2.5K-SL-1 (AS4777-2 2020),2.5,13/06/2023,13/06/2026
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF3.6K-SL (AS4777-2 2020),3.6,13/06/2023,13/06/2026
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF3.6K-SL-1 (AS4777-2 2020),3.6,13/06/2023,13/06/2026
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF3K-SL (AS4777-2 2020),3,13/06/2023,13/06/2026
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF3K-SL-1 (AS4777-2 2020),3,13/06/2023,13/06/2026
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF4.6K-SL (AS4777-2 2020),4.6,13/06/2023,13/06/2026
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF4K-SL (AS4777-2 2020),4,13/06/2023,13/06/2026
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF5.5K-SL (AS4777-2 2020),5.5,13/06/2023,13/06/2026
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF5K-SL (AS4777-2 2020),5,13/06/2023,13/06/2026
Afore New Energy Technology (Shanghai) Co Ltd,Low Voltage Hybird Inverter,AF6K-SL (AS4777-2 2020),6,13/06/2023,13/06/2026
AISWEI Technology (Shanghai) Co Ltd,ASW H-S,ASW3000H-S (AS4777-2 2020),3,14/07/2022,14/07/2025
AISWEI Technology (Shanghai) Co Ltd,ASW H-S,ASW3680H-S (AS4777-2 2020),3.68,14/07/2022,14/07/2025
AISWEI Technology (Shanghai) Co Ltd,ASW H-S,ASW4000H-S (AS4777-2 2020),4,14/07/2022,14/07/2025
AISWEI Technology (Shanghai) Co Ltd,ASW H-S,ASW5000H-S (AS4777-2 2020),5,14/07/2022,14/07/2025
AISWEI Technology (Shanghai) Co Ltd,ASW H-S2,ASW3000H-S2 (AS4777-2 2020),3,19/07/2022,17/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW H-S2,ASW3680H-S2 (AS4777-2 2020),3.68,19/07/2022,17/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW H-S2,ASW4000H-S2 (AS4777-2 2020),4,19/07/2022,17/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW H-S2,ASW5000H-S2 (AS4777-2 2020),5,19/07/2022,17/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW H-S2,ASW6000H-S2 (AS4777-2 2020),6,19/07/2022,17/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW -S,ASW3000-S (AS4777-2 2020),3,28/06/2022,28/06/2025
AISWEI Technology (Shanghai) Co Ltd,ASW -S,ASW3680-S (AS4777-2 2020),3.68,28/06/2022,28/06/2025
AISWEI Technology (Shanghai) Co Ltd,ASW -S,ASW4000-S (AS4777-2 2020),4,28/06/2022,28/06/2025
AISWEI Technology (Shanghai) Co Ltd,ASW -S,ASW5000-S (AS4777-2 2020),5,28/06/2022,28/06/2025
AISWEI Technology (Shanghai) Co Ltd,ASW -S-A,ASW10000-S-A (AS4777-2 2020),10,29/06/2022,16/05/2024
AISWEI Technology (Shanghai) Co Ltd,ASW -S-A,ASW5000-S-A (AS4777-2 2020),5,29/06/2022,16/05/2024
AISWEI Technology (Shanghai) Co Ltd,ASW -S-A,ASW6000-S-A (AS4777-2 2020),6,29/06/2022,16/05/2024
AISWEI Technology (Shanghai) Co Ltd,ASW -S-A,ASW8000-S-A (AS4777-2 2020),8,29/06/2022,16/05/2024
AISWEI Technology (Shanghai) Co Ltd,ASW -S-G2,ASW3000-S-G2 (AS4777-2 2020),3,25/10/2022,25/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW -S-G2,ASW3680-S-G2 (AS4777-2 2020),3.68,25/10/2022,25/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW -S-G2,ASW4000-S-G2 (AS4777-2 2020),4,25/10/2022,25/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW -S-G2,ASW5000-S-G2 (AS4777-2 2020),5,25/10/2022,25/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW -S-G2,ASW6000-S-G2 (AS4777-2 2020),6,25/10/2022,25/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW10K-LT-G2-A (AS4777-2 2020),10,22/07/2022,20/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW12K-LT-G2-A (AS4777-2 2020),12,22/07/2022,20/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW15K-LT-G2-A (AS4777-2 2020),15,22/07/2022,20/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW17K-LT-G2-A (AS4777-2 2020),17,22/07/2022,20/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW20K-LT-G2-A (AS4777-2 2020),20,22/07/2022,20/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW3K-LT-G2-A (AS4777-2 2020),3,22/07/2022,20/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW4K-LT-G2-A (AS4777-2 2020),4,22/07/2022,20/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW5K-LT-G2-A (AS4777-2 2020),5,22/07/2022,20/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW6K-LT-G2-A (AS4777-2 2020),6,22/07/2022,20/10/2025
AISWEI Technology (Shanghai) Co Ltd,ASW-LT-G2-A,ASW8K-LT-G2-A (AS4777-2 2020),8,22/07/2022,20/10/2025
AISWEI Technology Co Ltd,ASW H-T2/T3,ASW05kH-T2 (AS4777-2 2020),5,22/07/2024,22/07/2027
AISWEI Technology Co Ltd,ASW H-T2/T3,ASW08kH-T3 (AS4777-2 2020),8,22/07/2024,22/07/2027
AISWEI Technology Co Ltd,ASW H-T2/T3,ASW10kH-T3 (AS4777-2 2020),9.999,22/07/2024,22/07/2027
AISWEI Technology Co Ltd,ASW H-T2/T3,ASW12kH-T3 (AS4777-2 2020),12,22/07/2024,22/07/2027
AISWEI Technology Co Ltd,ASW H-T2/T3-O,ASW05kH-T2-O (AS4777-2 2020),5,22/07/2024,22/07/2027
AISWEI Technology Co Ltd,ASW H-T2/T3-O,ASW08kH-T3-O (AS4777-2 2020),8,22/07/2024,22/07/2027
AISWEI Technology Co Ltd,ASW H-T2/T3-O,ASW10kH-T3-O (AS4777-2 2020),9.999,22/07/2024,22/07/2027
AISWEI Technology Co Ltd,ASW H-T2/T3-O,ASW12kH-T3-O (AS4777-2 2020),12,22/07/2024,22/07/2027
AISWEI Technology Co Ltd,ASW -LT,ASW100K-LT (AS4777-2 2020),100,25/07/2023,25/07/2026
AISWEI Technology Co Ltd,ASW -LT,ASW110K-LT (AS4777-2 2020),110,25/07/2023,25/07/2026
AISWEI Technology Co Ltd,ASW -LT,ASW75K-LT (AS4777-2 2020),75,25/07/2023,25/07/2026
AISWEI Technology Co Ltd,ASW -LT,ASW80K-LT (AS4777-2 2020),80,25/07/2023,25/07/2026
AISWEI Technology Co Ltd,ASW S-A,ASW10000-S-A (AS4777-2 2020),9.999,22/07/2024,9/05/2027
AISWEI Technology Co Ltd,ASW S-A,ASW5000-S-A (AS4777-2 2020),5,22/07/2024,9/05/2027
AISWEI Technology Co Ltd,ASW S-A,ASW6000-S-A (AS4777-2 2020),6,22/07/2024,9/05/2027
AISWEI Technology Co Ltd,ASW S-A,ASW8000-S-A (AS4777-2 2020),8,22/07/2024,9/05/2027
AISWEI Technology Co Ltd,ASW SH,ASW008K-SH (AS4777-2 2020),8,18/06/2025,18/06/2028
AISWEI Technology Co Ltd,ASW SH,ASW010K-SH (AS4777-2 2020),9.999,18/06/2025,18/06/2028
AISWEI Technology Co Ltd,ASW25-40K-LT-G3,ASW25K-LT-G3 (AS4777-2 2020),25,9/11/2023,9/11/2026
AISWEI Technology Co Ltd,ASW25-40K-LT-G3,ASW27K-LT-G3 (AS4777-2 2020),27,9/11/2023,9/11/2026
AISWEI Technology Co Ltd,ASW25-40K-LT-G3,ASW30K-LT-G3 (AS4777-2 2020),29.9,9/11/2023,9/11/2026
AISWEI Technology Co Ltd,ASW25-40K-LT-G3,ASW33K-LT-G3 (AS4777-2 2020),33,9/11/2023,9/11/2026
AISWEI Technology Co Ltd,ASW25-40K-LT-G3,ASW36K-LT-G3 (AS4777-2 2020),36,9/11/2023,9/11/2026
AISWEI Technology Co Ltd,ASW25-40K-LT-G3,ASW40K-LT-G3 (AS4777-2 2020),40,9/11/2023,9/11/2026
AISWEI Technology Co Ltd,ASW45-60K-LT-G3,ASW45-LT-G3 (AS4777-2 2020),45,22/01/2024,22/01/2027
AISWEI Technology Co Ltd,ASW45-60K-LT-G3,ASW50-LT-G3 (AS4777-2 2020),50,22/01/2024,22/01/2027
AISWEI Technology Co Ltd,ASW45-60K-LT-G3,ASW60-LT-G3 (AS4777-2 2020),60,22/01/2024,22/01/2027
AISWEI Technology Co Ltd,ASW5000-10000W-S-A,ASW10000-S-A (AS4777-2 2020),9.9,17/11/2023,21/07/2024
AISWEI Technology Co Ltd,ASW5000-10000W-S-A,ASW5000-S-A (AS4777-2 2020),5,17/11/2023,21/07/2024
AISWEI Technology Co Ltd,ASW5000-10000W-S-A,ASW6000-S-A (AS4777-2 2020),6,17/11/2023,21/07/2024
AISWEI Technology Co Ltd,ASW5000-10000W-S-A,ASW8000-S-A (AS4777-2 2020),8,17/11/2023,21/07/2024
Alpha ESS Co Ltd,SMILE,SMILE-S5-HV-INV (AS4777-2 2020),5,17/02/2022,24/06/2025
Alpha ESS Co Ltd,SMILE,SMILE-S6-HV-INV (AS4777-2 2020),6,17/02/2022,24/06/2025
Alpha ESS Co Ltd,SMILE,SMILE-T10-HV-INV (AS4777-2 2020),10,17/03/2022,17/07/2025
Alpha ESS Co Ltd,SMILE B5 series,SMILE-B5 (AS4777-2 2020),5,15/08/2024,15/08/2027
Alpha ESS Co Ltd,SMILE Series,SMILE5-INV (AS4777-2 2020),5,9/12/2022,9/12/2025
Alpha ESS Co Ltd,SMILE-B3-PLUS,SMILE-B3-PLUS (AS4777-2 2020),3,22/01/2022,19/08/2026
Alpha ESS Co Ltd,SMILE-B3-PLUS,SMILE-B3-PLUS II (AS4777-2 2020),3,22/01/2022,19/08/2026
Alpha ESS Co Ltd,SMILE-B3-PLUS,SMILE-B3-PLUS III (AS4777-2 2020),3,22/01/2022,19/08/2026
Alpha ESS Co Ltd,SMILE-B3-PLUS,SMILE-B3-PLUS IV (AS4777-2 2020),3,22/01/2022,19/08/2026
Alpha ESS Co Ltd,SMILE-B3-PLUS,SMILE-B3-PLUS V (AS4777-2 2020),3,22/01/2022,19/08/2026
Alpha ESS Co Ltd,SMILE-B3-PLUS,SMILE-B3-PLUS VI (AS4777-2 2020),3,22/01/2022,19/08/2026
Alpha ESS Co Ltd,SMILE-B5 Series,SMILE-B5 II (AS4777-2 2020),5,15/08/2024,15/08/2027
Alpha ESS Co Ltd,SMILE-B5 Series,SMILE-B5 III (AS4777-2 2020),5,15/08/2024,15/08/2027
Alpha ESS Co Ltd,SMILE-B5 Series,SMILE-B5 IV (AS4777-2 2020),5,15/08/2024,15/08/2027
Alpha ESS Co Ltd,SMILE-B5 Series,SMILE-B5 V (AS4777-2 2020),5,15/08/2024,15/08/2027
Alpha ESS Co Ltd,SMILE-B5 Series,SMILE-B5 VI (AS4777-2 2020),5,15/08/2024,15/08/2027
Alpha ESS Co Ltd,SMILE-G3,SMILE-G3-B5-INV (AS4777-2 2020),5,21/07/2022,5/09/2025
Alpha ESS Co Ltd,SMILE-G3,SMILE-G3-S3.6-INV (AS4777-2 2020),3.6,21/07/2022,5/09/2025
Alpha ESS Co Ltd,SMILE-G3,SMILE-G3-S5-INV (AS4777-2 2020),5,21/07/2022,5/09/2025
Alpha ESS Co Ltd,SMILE-M5,SMILE-M3.6-S-INV (AS4777-2 2020),3.6,5/06/2025,5/06/2028
Alpha ESS Co Ltd,SMILE-M5,SMILE-M5-S-INV (AS4777-2 2020),5,5/06/2025,5/06/2028
Alpha ESS Co Ltd,SMILE-S,SMILE-S5 (AS4777-2 2020),5,24/11/2022,24/11/2025
Alpha ESS Co Ltd,SMILE-S,SMILE-S5 II (AS4777-2 2020),5,24/11/2022,24/11/2025
Alpha ESS Co Ltd,SMILE-S,SMILE-S5 III (AS4777-2 2020),5,24/11/2022,24/11/2025
Alpha ESS Co Ltd,SMILE-S,SMILE-S5 IV (AS4777-2 2020),5,24/11/2022,24/11/2025
Alpha ESS Co Ltd,SMILE-S,SMILE-S5 V (AS4777-2 2020),5,24/11/2022,24/11/2025
Alpha ESS Co Ltd,SMILE-S,SMILE-S5 VI (AS4777-2 2020),5,24/11/2022,24/11/2025
Alpha ESS Co Ltd,Storion-SMILE-B3,Storion-SMILE-B3 (AS4777-2 2020),3,14/08/2024,27/01/2027
Alpha ESS Co Ltd,Storion-SMILE-B3,Storion-SMILE-B3 II (AS4777-2 2020),3,14/08/2024,27/01/2027
Alpha ESS Co Ltd,Storion-SMILE-B3,Storion-SMILE-B3 III (AS4777-2 2020),3,14/08/2024,27/01/2027
Alpha ESS Co Ltd,Storion-SMILE-B3,Storion-SMILE-B3 IV (AS4777-2 2020),3,14/08/2024,27/01/2027
Alpha ESS Co Ltd,Storion-SMILE-B3,Storion-SMILE-B3 V (AS4777-2 2020),3,14/08/2024,27/01/2027
Alpha ESS Co Ltd,Storion-SMILE-B3,Storion-SMILE-B3 VI (AS4777-2 2020),3,14/08/2024,27/01/2027
Altenergy Power System Inc,3-Phase Microinverter,QT2 (AS4777-2 2020),2,18/01/2023,18/01/2026
Altenergy Power System Inc,3-Phase Microinverter,QT2-AU (AS4777-2 2020),2,18/01/2023,18/01/2026
Altenergy Power System Inc,DS3,DS3 (AS4777-2 2020),0.88,19/12/2021,30/11/2026
Altenergy Power System Inc,DS3,DS3-H (AS4777-2 2020),0.96,19/12/2021,30/11/2026
Altenergy Power System Inc,DS3,DS3-L (AS4777-2 2020),0.75,19/12/2021,30/11/2026
Altenergy Power System Inc,DS3,DS3-S (AS4777-2 2020),0.625,19/12/2021,30/11/2026
Altenergy Power System Inc,DS3D,DS3D (AS4777-2 2020),1.8,8/03/2023,8/03/2026
Altenergy Power System Inc,DS3D,DS3D-AU (AS4777-2 2020),1.8,8/03/2023,8/03/2026
Altenergy Power System Inc,DS3D,DS3D-H (AS4777-2 2020),2,8/03/2023,8/03/2026
Altenergy Power System Inc,DS3D,DS3D-H-AU (AS4777-2 2020),2,8/03/2023,8/03/2026
Altenergy Power System Inc,DS3D,DS3D-L (AS4777-2 2020),1.6,8/03/2023,8/03/2026
Altenergy Power System Inc,DS3D,DS3D-L-AU (AS4777-2 2020),1.6,8/03/2023,8/03/2026
Altenergy Power System Inc,ELS,ELS-3K (AS4777-2 2020),3.68,22/05/2023,22/05/2026
Altenergy Power System Inc,ELS,ELS-5K (AS4777-2 2020),5,22/05/2023,22/05/2026
Altenergy Power System Inc,ELT,ELT-10 (AS4777-2 2020),10,26/06/2025,26/06/2028
Altenergy Power System Inc,ELT,ELT-12 (AS4777-2 2020),12,26/06/2025,26/06/2028
Altenergy Power System Inc,ELT,ELT-6 (AS4777-2 2020),6,26/06/2025,26/06/2028
Altenergy Power System Inc,ELT,ELT-8 (AS4777-2 2020),8,26/06/2025,26/06/2028
Anker Innovations Limited,Anker SOLIX X1,X1-H10K-T (AS4777-2 2020),10,9/01/2025,9/01/2028
Anker Innovations Limited,Anker SOLIX X1,X1-H12K-T (AS4777-2 2020),12,9/01/2025,9/01/2028
Anker Innovations Limited,Anker SOLIX X1,X1-H3.68K-S (AS4777-2 2020),3.68,11/02/2025,11/02/2028
Anker Innovations Limited,Anker SOLIX X1,X1-H4.6K-S (AS4777-2 2020),4.6,11/02/2025,11/02/2028
Anker Innovations Limited,Anker SOLIX X1,X1-H5K-S (AS4777-2 2020),5,11/02/2025,11/02/2028
Anker Innovations Limited,Anker SOLIX X1,X1-H5K-T (AS4777-2 2020),5,9/01/2025,9/01/2028
Anker Innovations Limited,Anker SOLIX X1,X1-H6K-S (AS4777-2 2020),6,11/02/2025,11/02/2028
Anker Innovations Limited,Anker SOLIX X1,X1-H8K-T (AS4777-2 2020),8,9/01/2025,9/01/2028
Anker Innovations Limited,Anker SOLIX X1,X1-P5K-S (AS4777-2 2020),5,11/07/2025,11/07/2028
Anker Innovations Limited,Anker SOLIX X1,X1-P6K-B05-S (AS4777-2 2020),3,4/10/2024,4/10/2027
Anker Innovations Limited,Anker SOLIX X1,X1-P6K-B10-S (AS4777-2 2020),6,4/10/2024,4/10/2027
Anker Innovations Limited,Anker SOLIX X1,X1-P6K-B15-S (AS4777-2 2020),6,4/10/2024,4/10/2027
Anker Innovations Limited,Anker SOLIX X1,X1-P6K-B20-S (AS4777-2 2020),6,4/10/2024,4/10/2027
Anker Innovations Limited,Anker SOLIX X1,X1-P6K-B25-S (AS4777-2 2020),6,4/10/2024,4/10/2027
Anker Innovations Limited,Anker SOLIX X1,X1-P6K-B30-S (AS4777-2 2020),6,4/10/2024,4/10/2027
Anker Innovations Limited,Anker SOLIX X1,X1-P6K-S (AS4777-2 2020),6,11/07/2025,11/07/2028
Asian Power Devices Inc,AC L1,PV 4K6AC (AS4777-2 2020),4.6,24/04/2023,24/04/2026
Asian Power Devices Inc,AC L1,PV 5KAC (AS4777-2 2020),5,24/04/2023,24/04/2026
Asian Power Devices Inc,AC L1,PV 6KAC (AS4777-2 2020),6,24/04/2023,24/04/2026
Asian Power Devices Inc,HB L1,PV 4K6HB-120 (AS4777-2 2020),4.6,24/04/2023,5/09/2027
Asian Power Devices Inc,HB L1,PV 4K6HB-60 (AS4777-2 2020),4.6,24/04/2023,5/09/2027
Asian Power Devices Inc,HB L1,PV 5KHB-120 (AS4777-2 2020),5,24/04/2023,5/09/2027
Asian Power Devices Inc,HB L1,PV 5KHB-60 (AS4777-2 2020),5,24/04/2023,5/09/2027
Asian Power Devices Inc,HB L1,PV 6KHB-120 (AS4777-2 2020),6,24/04/2023,5/09/2027
Asian Power Devices Inc,HB L1,PV 6KHB-60 (AS4777-2 2020),6,24/04/2023,5/09/2027
Asian Power Devices Inc,PV H3,PV 10KTL-D3/G2 (AS4777-2 2020),10,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 10KTL-D3/G2P (AS4777-2 2020),10,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 12KTL-D3/G2 (AS4777-2 2020),12,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 15KTL-D3/G2 (AS4777-2 2020),15,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 15KTL-D3/G2P (AS4777-2 2020),15,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 17KTL-D3/G2 (AS4777-2 2020),17,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 20KTL-D3/G2 (AS4777-2 2020),20,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 22KTL-D3/G2 (AS4777-2 2020),22,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 25KTL-D3/G2 (AS4777-2 2020),25,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 5KTL-D3/G2 (AS4777-2 2020),5,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 6KTL-D3/G2 (AS4777-2 2020),6,23/02/2023,23/02/2026
Asian Power Devices Inc,PV H3,PV 8KTL-D3/G2 (AS4777-2 2020),8,23/02/2023,23/02/2026
Asian Power Devices Inc,PV L1,PV 10KTL-D1P (AS4777-2 2020),10,15/02/2023,15/02/2026
Asian Power Devices Inc,PV L1,PV 5KTL-D1/G2P (AS4777-2 2020),5,8/02/2023,8/02/2026
Asian Power Devices Inc,PV L1,PV 6KTL-D1/G2P (AS4777-2 2020),6,8/02/2023,8/02/2026
Asian Power Devices Inc,PV L1,PV 8KTL-D1P (AS4777-2 2020),8,15/02/2023,15/02/2026
BEIJING HUA XIN LIU HE INVESTMENT (AUSTRALIA) PTY LTD,Z20,Z20I3K6D (AS4777-2 2020),3.68,19/05/2022,19/05/2025
BEIJING HUA XIN LIU HE INVESTMENT (AUSTRALIA) PTY LTD,Z20,Z20I3K6D-2 (AS4777-2 2020),3.68,19/05/2022,19/05/2025
BEIJING HUA XIN LIU HE INVESTMENT (AUSTRALIA) PTY LTD,Z20,Z20I3KD (AS4777-2 2020),3,19/05/2022,19/05/2025
BEIJING HUA XIN LIU HE INVESTMENT (AUSTRALIA) PTY LTD,Z20,Z20I4K2D (AS4777-2 2020),4.2,19/05/2022,19/05/2025
BEIJING HUA XIN LIU HE INVESTMENT (AUSTRALIA) PTY LTD,Z20,Z20I4K2D-2 (AS4777-2 2020),4.2,19/05/2022,19/05/2025
BEIJING HUA XIN LIU HE INVESTMENT (AUSTRALIA) PTY LTD,Z20,Z20I5KD (AS4777-2 2020),5,19/05/2022,19/05/2025
BEIJING HUA XIN LIU HE INVESTMENT (AUSTRALIA) PTY LTD,Z20,Z20I5KD-2 (AS4777-2 2020),5,19/05/2022,19/05/2025
BEIJING HUA XIN LIU HE INVESTMENT (AUSTRALIA) PTY LTD,Z21,Z21I3K6D48 (AS4777-2 2020),3.68,8/09/2022,8/09/2025
BEIJING HUA XIN LIU HE INVESTMENT (AUSTRALIA) PTY LTD,Z21,Z21I4K6D48 (AS4777-2 2020),5,8/09/2022,8/09/2025
Bytewatt Technology Co Ltd,Three Phase Hybrid Inverter,BW-INV-TPH10K (AS4777-2 2020),10,4/03/2025,4/03/2028
Bytewatt Technology Co Ltd,Three Phase Hybrid Inverter,BW-INV-TPH4K (AS4777-2 2020),4,4/03/2025,4/03/2028
Bytewatt Technology Co Ltd,Three Phase Hybrid Inverter,BW-INV-TPH5K (AS4777-2 2020),5,4/03/2025,4/03/2028
Bytewatt Technology Co Ltd,Three Phase Hybrid Inverter,BW-INV-TPH6K (AS4777-2 2020),6,4/03/2025,4/03/2028
Bytewatt Technology Co Ltd,Three Phase Hybrid Inverter,BW-INV-TPH8K (AS4777-2 2020),8,4/03/2025,4/03/2028
CD Power Pty Ltd,Sierra 25,SIERRA 25 380 SHELF ECI,12,10/11/2022,10/11/2025
CD Power Pty Ltd,SIERRA 25,SIERRA 25 48/277 SHELF ECI,12,10/11/2022,10/11/2025
CEEG (JIANGSU) TECH CO LTD,CHCI,CHCI-3.6K-10.24KWH (AS4777-2 2020),3.6,17/07/2023,17/07/2026
CEEG (JIANGSU) TECH CO LTD,CHCI,CHCI-3.6K-5.12KWH (AS4777-2 2020),3.6,17/07/2023,17/07/2026
CEEG (JIANGSU) TECH CO LTD,CHCI,CHCI-5.0K-10.24KWH (AS4777-2 2020),5,17/07/2023,17/07/2026
CEEG (JIANGSU) TECH CO LTD,CHCI,CHCI-5.0K-5.12KWH (AS4777-2 2020),5,17/07/2023,17/07/2026
CEEG (JIANGSU) TECH CO LTD,CHCI,CHCI-6.0K-10.24WH (AS4777-2 2020),6,17/07/2023,17/07/2026
CEEG (JIANGSU) TECH CO LTD,CHCI,CHCI-6.0K-5.12KWH (AS4777-2 2020),6,17/07/2023,17/07/2026
Clenergy Technology Co Ltd,TNK,TNK-5000-PV-E1 (AS4777-2 2020),5,5/06/2024,5/06/2027
Clenergy Technology Co Ltd,TNK,TNK-6000-PV-E1 (AS4777-2 2020),6,5/06/2024,5/06/2027
Cornick Pty Ltd,Genius,Genius IA3 (AS4777-2 2020),3.68,28/08/2023,28/08/2026
Cornick Pty Ltd,Genius,Genius IA5 (AS4777-2 2020),4.999,28/08/2023,28/08/2026
CSE Energy & Technology Co Ltd,AIO1,AIO1-PCS-3K-G1 (AS4777-2 2020),3,19/12/2024,19/12/2027
CSE Energy & Technology Co Ltd,AIO1,AIO1-PCS-5K-G1 (AS4777-2 2020),5,19/12/2024,19/12/2027
CSE Energy & Technology Co Ltd,AIO1,AIO1-PCS-5K-G1-L (AS4777-2 2020),5,19/12/2024,19/12/2027
CSI Solar Co Ltd,CSI-5K-1P,CSI-5K-S22002-E (AS4777-2 2020),5,30/06/2022,16/06/2025
